Time,drops
10.733 sec,0
10.767 sec,0
10.8 sec,0
10.833 sec,0
10.867 sec,0
10.9 sec,0
10.933 sec,0
10.967 sec,0
11 sec,0
11.033 sec,0
11.067 sec,0
11.1 sec,0
11.133 sec,0
11.167 sec,0
11.2 sec,0
11.233 sec,0
11.267 sec,0
11.3 sec,0
11.333 sec,0
11.367 sec,0
11.4 sec,0
11.433 sec,0
11.467 sec,0
11.5 sec,0
11.533 sec,0
11.567 sec,0
11.6 sec,0
11.633 sec,0
11.667 sec,0
11.7 sec,0
11.733 sec,0
11.767 sec,0
11.8 sec,0
11.833 sec,0
11.867 sec,0
11.9 sec,0
11.933 sec,0
11.967 sec,0
12 sec,0
12.033 sec,0
12.067 sec,0
12.1 sec,0
12.133 sec,0
12.167 sec,0
12.2 sec,0
12.233 sec,0
12.267 sec,0
12.3 sec,0
12.333 sec,0
12.367 sec,0
12.4 sec,0
12.433 sec,0
12.467 sec,0
12.5 sec,0
12.533 sec,0
12.567 sec,0
12.6 sec,0
12.633 sec,0
12.667 sec,0
12.7 sec,0
12.733 sec,0
12.767 sec,0
12.8 sec,0
12.833 sec,0
12.867 sec,0
12.9 sec,0
12.933 sec,0
12.967 sec,0
13 sec,0
13.033 sec,0
13.067 sec,0
13.1 sec,0
13.133 sec,0
13.167 sec,0
13.2 sec,0
13.233 sec,0
13.267 sec,0
13.3 sec,0
13.333 sec,0
13.367 sec,0
13.4 sec,0
13.433 sec,0
13.467 sec,0
13.5 sec,0
13.533 sec,0
13.567 sec,0
13.6 sec,0
13.633 sec,0
13.667 sec,0
13.7 sec,0
13.733 sec,0
13.767 sec,0
13.8 sec,0
13.833 sec,0
13.867 sec,0
13.9 sec,0
13.933 sec,0
13.967 sec,0
14 sec,0
14.033 sec,0
14.067 sec,0
14.1 sec,0
14.133 sec,0
14.167 sec,0
14.2 sec,0
14.233 sec,0
14.267 sec,0
14.3 sec,0
14.333 sec,0
14.367 sec,0
14.4 sec,0
14.433 sec,0
14.467 sec,0
14.5 sec,0
14.533 sec,0
14.567 sec,0
14.6 sec,0
14.633 sec,0
14.667 sec,0
14.7 sec,0
14.733 sec,0
14.767 sec,0
14.8 sec,0
14.833 sec,0
14.867 sec,0
14.9 sec,0
14.933 sec,0
14.967 sec,0
15 sec,0
15.033 sec,0
15.067 sec,0
15.1 sec,0
15.133 sec,0
15.167 sec,0
15.2 sec,0
15.233 sec,0
15.267 sec,0
15.3 sec,0
15.333 sec,0
15.367 sec,0
15.4 sec,0
15.433 sec,0
15.467 sec,0
15.5 sec,0
15.533 sec,0
15.567 sec,0
15.6 sec,0
15.633 sec,0
15.667 sec,0
15.7 sec,0
15.733 sec,0
15.767 sec,0
15.8 sec,0
15.833 sec,0
15.867 sec,0
15.9 sec,0
15.933 sec,0
15.967 sec,0
16 sec,0
16.033 sec,0
16.067 sec,0
16.1 sec,0
16.133 sec,0
16.167 sec,1
16.2 sec,1
16.233 sec,0
16.267 sec,0
16.3 sec,0
16.333 sec,0
16.367 sec,0
16.4 sec,0
16.433 sec,0
16.467 sec,0
16.5 sec,0
16.533 sec,0
16.567 sec,0
16.6 sec,1
16.633 sec,1
16.667 sec,0
16.7 sec,0
16.733 sec,0
16.767 sec,0
16.8 sec,0
16.833 sec,0
16.867 sec,0
16.9 sec,0
16.933 sec,0
16.967 sec,0
17 sec,0
17.033 sec,0
17.067 sec,0
17.1 sec,0
17.133 sec,0
17.167 sec,0
17.2 sec,0
17.233 sec,0
17.267 sec,0
17.3 sec,0
17.333 sec,0
17.367 sec,0
17.4 sec,0
17.433 sec,0
17.467 sec,0
17.5 sec,0
17.533 sec,0
17.567 sec,0
17.6 sec,0
17.633 sec,0
17.667 sec,1
17.7 sec,1
17.733 sec,0
17.767 sec,0
17.8 sec,0
17.833 sec,0
17.867 sec,0
17.9 sec,0
17.933 sec,0
17.967 sec,0
18 sec,0
18.033 sec,0
18.067 sec,0
18.1 sec,1
18.133 sec,0
18.167 sec,1
18.2 sec,1
18.233 sec,0
18.267 sec,0
18.3 sec,0
18.333 sec,0
18.367 sec,0
18.4 sec,0
18.433 sec,0
18.467 sec,0
18.5 sec,0
18.533 sec,1
18.567 sec,0
18.6 sec,0
18.633 sec,0
18.667 sec,0
18.7 sec,0
18.733 sec,0
18.767 sec,0
18.8 sec,0
18.833 sec,1
18.867 sec,1
18.9 sec,1
18.933 sec,1
18.967 sec,1
19 sec,1
19.033 sec,1
19.067 sec,1
19.1 sec,1
19.133 sec,1
19.167 sec,0
19.2 sec,0
19.233 sec,0
19.267 sec,1
19.3 sec,0
19.333 sec,0
19.367 sec,0
19.4 sec,0
19.433 sec,0
19.467 sec,1
19.5 sec,1
19.533 sec,1
19.567 sec,1
19.6 sec,0
19.633 sec,0
19.667 sec,0
19.7 sec,0
19.733 sec,0
19.767 sec,0
19.8 sec,0
19.833 sec,0
19.867 sec,0
19.9 sec,0
19.933 sec,0
19.967 sec,0
20 sec,0
20.033 sec,1
20.067 sec,1
20.1 sec,0
20.133 sec,0
20.167 sec,0
20.2 sec,0
20.233 sec,0
20.267 sec,0
20.3 sec,0
20.333 sec,0
20.367 sec,0
20.4 sec,1
20.433 sec,0
20.467 sec,0
20.5 sec,0
20.533 sec,0
20.567 sec,0
20.6 sec,0
20.633 sec,0
20.667 sec,1
20.7 sec,0
20.733 sec,0
20.767 sec,0
20.8 sec,1
20.833 sec,0
20.867 sec,1
20.9 sec,1
20.933 sec,0
20.967 sec,0
21 sec,1
21.033 sec,0
21.067 sec,0
21.1 sec,1
21.133 sec,1
21.167 sec,1
21.2 sec,0
21.233 sec,0
21.267 sec,0
21.3 sec,0
21.333 sec,0
21.367 sec,0
21.4 sec,0
21.433 sec,0
21.467 sec,0
21.5 sec,0
21.533 sec,1
21.567 sec,0
21.6 sec,0
21.633 sec,0
21.667 sec,0
21.7 sec,0
21.733 sec,0
21.767 sec,0
21.8 sec,0
21.833 sec,0
21.867 sec,0
21.9 sec,0
21.933 sec,0
21.967 sec,0
22 sec,0
22.033 sec,1
22.067 sec,1
22.1 sec,1
22.133 sec,0
22.167 sec,0
22.2 sec,0
22.233 sec,0
22.267 sec,0
22.3 sec,1
22.333 sec,1
22.367 sec,1
22.4 sec,1
22.433 sec,1
22.467 sec,1
22.5 sec,1
22.533 sec,1
22.567 sec,1
22.6 sec,1
22.633 sec,1
22.667 sec,1
22.7 sec,1
22.733 sec,1
22.767 sec,1
22.8 sec,1
22.833 sec,1
22.867 sec,1
22.9 sec,1
22.933 sec,1
22.967 sec,0
23 sec,0
23.033 sec,0
23.067 sec,0
23.1 sec,0
23.133 sec,0
23.167 sec,0
23.2 sec,0
23.233 sec,0
23.267 sec,0
23.3 sec,0
23.333 sec,0
23.367 sec,0
23.4 sec,0
23.433 sec,0
23.467 sec,0
23.5 sec,0
23.533 sec,0
23.567 sec,0
23.6 sec,0
23.633 sec,0
23.667 sec,0
23.7 sec,0
23.733 sec,0
23.767 sec,0
23.8 sec,0
23.833 sec,0
23.867 sec,0
23.9 sec,0
23.933 sec,0
23.967 sec,0
24 sec,0
24.033 sec,0
24.067 sec,0
24.1 sec,0
24.133 sec,0
24.167 sec,0
24.2 sec,1
24.233 sec,0
24.267 sec,0
24.3 sec,0
24.333 sec,0
24.367 sec,0
24.4 sec,0
24.433 sec,0
24.467 sec,0
24.5 sec,0
24.533 sec,0
24.567 sec,0
24.6 sec,0
24.633 sec,0
24.667 sec,0
24.7 sec,0
24.733 sec,0
24.767 sec,0
24.8 sec,0
24.833 sec,0
24.867 sec,0
24.9 sec,0
24.933 sec,0
24.967 sec,0
25 sec,0
25.033 sec,0
25.067 sec,0
25.1 sec,0
25.133 sec,0
25.167 sec,0
25.2 sec,0
25.233 sec,0
25.267 sec,0
25.3 sec,0
25.333 sec,0
25.367 sec,0
25.4 sec,0
25.433 sec,0
25.467 sec,0
25.5 sec,0
25.533 sec,0
25.567 sec,0
25.6 sec,0
25.633 sec,0
25.667 sec,0
25.7 sec,0
25.733 sec,0
25.767 sec,0
25.8 sec,0
25.833 sec,0
25.867 sec,0
25.9 sec,0
25.933 sec,0
25.967 sec,0
26 sec,0
26.033 sec,0
26.067 sec,0
26.1 sec,0
26.133 sec,0
26.167 sec,0
26.2 sec,0
26.233 sec,0
26.267 sec,0
26.3 sec,0
26.333 sec,0
26.367 sec,0
26.4 sec,0
26.433 sec,0
26.467 sec,0
26.5 sec,0
26.533 sec,0
26.567 sec,0
26.6 sec,0
26.633 sec,0
26.667 sec,0
26.7 sec,0
26.733 sec,0
26.767 sec,0
26.8 sec,0
26.833 sec,0
26.867 sec,0
26.9 sec,0
26.933 sec,0
26.967 sec,0
27 sec,0
27.033 sec,0
27.067 sec,0
27.1 sec,0
27.133 sec,0
27.167 sec,0
27.2 sec,0
27.233 sec,0
27.267 sec,0
27.3 sec,0
27.333 sec,0
27.367 sec,0
27.4 sec,0
27.433 sec,0
27.467 sec,0
27.5 sec,0
27.533 sec,0
27.567 sec,0
27.6 sec,0
27.633 sec,0
27.667 sec,0
27.7 sec,0
27.733 sec,0
27.767 sec,0
27.8 sec,0
27.833 sec,0
27.867 sec,0
27.9 sec,0
27.933 sec,0
27.967 sec,0
28 sec,0
28.033 sec,0
28.067 sec,0
28.1 sec,0
28.133 sec,0
28.167 sec,0
28.2 sec,0
28.233 sec,0
28.267 sec,0
28.3 sec,0
28.333 sec,0
28.367 sec,0
28.4 sec,0
28.433 sec,0
28.467 sec,0
28.5 sec,0
28.533 sec,0
28.567 sec,0
28.6 sec,0
28.633 sec,0
28.667 sec,0
28.7 sec,0
28.733 sec,0
28.767 sec,0
28.8 sec,0
28.833 sec,0
28.867 sec,0
28.9 sec,0
28.933 sec,0
28.967 sec,0
29 sec,0
29.033 sec,0
29.067 sec,0
29.1 sec,0
29.133 sec,0
29.167 sec,0
29.2 sec,0
29.233 sec,0
29.267 sec,0
29.3 sec,0
29.333 sec,0
29.367 sec,0
29.4 sec,0
29.433 sec,0
29.467 sec,0
29.5 sec,0
29.533 sec,0
29.567 sec,0
29.6 sec,0
29.633 sec,0
29.667 sec,0
29.7 sec,0
29.733 sec,0
29.767 sec,0
29.8 sec,0
29.833 sec,0
29.867 sec,0
29.9 sec,0
29.933 sec,0
29.967 sec,0
30 sec,0
30.033 sec,0
30.067 sec,0
30.1 sec,0
30.133 sec,0
30.167 sec,0
30.2 sec,0
30.233 sec,0
30.267 sec,0
30.3 sec,0
30.333 sec,0
30.367 sec,0
30.4 sec,0
30.433 sec,0
30.467 sec,0
30.5 sec,0
30.533 sec,0
30.567 sec,0
30.6 sec,0
30.633 sec,0
30.667 sec,0
30.7 sec,0
30.733 sec,0
30.767 sec,0
30.8 sec,0
30.833 sec,0
30.867 sec,0
30.9 sec,0
30.933 sec,0
30.967 sec,0
31 sec,0
31.033 sec,0
31.067 sec,0
31.1 sec,0
31.133 sec,0
31.167 sec,0
31.2 sec,0
31.233 sec,0
31.267 sec,0
31.3 sec,0
31.333 sec,0
31.367 sec,0
31.4 sec,0
31.433 sec,0
31.467 sec,0
31.5 sec,0
31.533 sec,0
31.567 sec,0
31.6 sec,0
31.633 sec,0
31.667 sec,0
31.7 sec,0
31.733 sec,0
31.767 sec,0
31.8 sec,0
31.833 sec,0
31.867 sec,0
31.9 sec,0
31.933 sec,0
31.967 sec,0
32 sec,0
32.033 sec,0
32.067 sec,0
32.1 sec,0
32.133 sec,0
32.167 sec,0
32.2 sec,0
32.233 sec,0
32.267 sec,0
32.3 sec,0
32.333 sec,0
32.367 sec,0
32.4 sec,0
32.433 sec,0
32.467 sec,0
32.5 sec,0
32.533 sec,0
32.567 sec,0
32.6 sec,0
32.633 sec,0
32.667 sec,0
32.7 sec,0
32.733 sec,0
32.767 sec,0
32.8 sec,0
32.833 sec,0
32.867 sec,0
32.9 sec,0
32.933 sec,0
32.967 sec,0
33 sec,0
33.033 sec,0
33.067 sec,0
33.1 sec,0
33.133 sec,0
33.167 sec,0
33.2 sec,0
33.233 sec,0
33.267 sec,0
33.3 sec,0
33.333 sec,0
33.367 sec,0
33.4 sec,0
33.433 sec,0
33.467 sec,0
33.5 sec,0
33.533 sec,0
33.567 sec,0
33.6 sec,0
33.633 sec,0
33.667 sec,0
33.7 sec,0
33.733 sec,0
33.767 sec,0
33.8 sec,0
33.833 sec,0
33.867 sec,0
33.9 sec,0
33.933 sec,0
33.967 sec,0
34 sec,0
34.033 sec,0
34.067 sec,0
34.1 sec,0
34.133 sec,0
34.167 sec,0
34.2 sec,0
34.233 sec,0
34.267 sec,0
34.3 sec,0
34.333 sec,0
34.367 sec,0
34.4 sec,0
34.433 sec,0
34.467 sec,0
34.5 sec,0
34.533 sec,0
34.567 sec,0
34.6 sec,0
34.633 sec,0
34.667 sec,0
34.7 sec,0
34.733 sec,0
34.767 sec,0
34.8 sec,0
34.833 sec,0
34.867 sec,0
34.9 sec,0
34.933 sec,0
34.967 sec,0
35 sec,0
35.033 sec,0
35.067 sec,0
35.1 sec,0
35.133 sec,0
35.167 sec,0
35.2 sec,0
35.233 sec,0
35.267 sec,0
35.3 sec,0
35.333 sec,0
35.367 sec,0
35.4 sec,0
35.433 sec,0
35.467 sec,0
35.5 sec,0
35.533 sec,0
35.567 sec,0
35.6 sec,0
35.633 sec,0
35.667 sec,0
35.7 sec,0
35.733 sec,0
35.767 sec,0
35.8 sec,0
35.833 sec,0
35.867 sec,0
35.9 sec,0
35.933 sec,0
35.967 sec,0
36 sec,0
36.033 sec,0
36.067 sec,0
36.1 sec,0
36.133 sec,0
36.167 sec,0
36.2 sec,0
36.233 sec,0
36.267 sec,0
36.3 sec,0
36.333 sec,0
36.367 sec,0
36.4 sec,0
36.433 sec,0
36.467 sec,0
36.5 sec,0
36.533 sec,0
36.567 sec,0
36.6 sec,0
36.633 sec,0
36.667 sec,0
36.7 sec,0
36.733 sec,0
36.767 sec,0
36.8 sec,0
36.833 sec,0
36.867 sec,0
36.9 sec,0
36.933 sec,0
36.967 sec,0
37 sec,0
37.033 sec,0
37.067 sec,0
37.1 sec,0
37.133 sec,0
37.167 sec,0
37.2 sec,0
37.233 sec,0
37.267 sec,0
37.3 sec,0
37.333 sec,0
37.367 sec,0
37.4 sec,0
37.433 sec,0
37.467 sec,0
37.5 sec,0
37.533 sec,0
37.567 sec,0
37.6 sec,0
37.633 sec,0
37.667 sec,0
37.7 sec,0
37.733 sec,0
37.767 sec,0
37.8 sec,0
37.833 sec,0
37.867 sec,0
37.9 sec,0
37.933 sec,0
37.967 sec,0
38 sec,0
38.033 sec,0
38.067 sec,0
38.1 sec,0
38.133 sec,0
38.167 sec,0
38.2 sec,0
38.233 sec,0
38.267 sec,0
38.3 sec,0
38.333 sec,0
38.367 sec,0
38.4 sec,0
38.433 sec,0
38.467 sec,0
38.5 sec,0
38.533 sec,0
38.567 sec,0
38.6 sec,0
38.633 sec,0
38.667 sec,0
38.7 sec,0
38.733 sec,0
38.767 sec,0
38.8 sec,0
38.833 sec,0
38.867 sec,0
38.9 sec,0
38.933 sec,0
38.967 sec,0
39 sec,0
39.033 sec,0
39.067 sec,0
39.1 sec,0
39.133 sec,0
39.167 sec,0
39.2 sec,0
39.233 sec,0
39.267 sec,0
39.3 sec,0
39.333 sec,0
39.367 sec,0
39.4 sec,0
39.433 sec,0
39.467 sec,0
39.5 sec,0
39.533 sec,0
39.567 sec,0
39.6 sec,0
39.633 sec,0
39.667 sec,0
39.7 sec,0
39.733 sec,0
39.767 sec,0
39.8 sec,0
39.833 sec,0
39.867 sec,0
39.9 sec,0
39.933 sec,0
39.967 sec,0
40 sec,0
40.033 sec,0
40.067 sec,0
40.1 sec,0
40.133 sec,0
40.167 sec,0
40.2 sec,0
40.233 sec,0
40.267 sec,0
40.3 sec,0
40.333 sec,0
40.367 sec,0
40.4 sec,0
40.433 sec,0
40.467 sec,0
40.5 sec,0
40.533 sec,0
40.567 sec,0
40.6 sec,0
40.633 sec,0
40.667 sec,0
40.7 sec,0
40.733 sec,0
40.767 sec,0
40.8 sec,0
40.833 sec,0
40.867 sec,0
40.9 sec,0
40.933 sec,0
40.967 sec,0
41 sec,0
41.033 sec,0
41.067 sec,0
41.1 sec,0
41.133 sec,0
41.167 sec,0
41.2 sec,0
41.233 sec,0
41.267 sec,0
41.3 sec,0
41.333 sec,0
41.367 sec,0
41.4 sec,0
41.433 sec,0
41.467 sec,0
41.5 sec,0
41.533 sec,0
41.567 sec,0
41.6 sec,0
41.633 sec,0
41.667 sec,0
41.7 sec,0
41.733 sec,0
41.767 sec,0
41.8 sec,0
41.833 sec,0
41.867 sec,0
41.9 sec,0
41.933 sec,0
41.967 sec,0
42 sec,0
42.033 sec,0
42.067 sec,0
42.1 sec,0
42.133 sec,0
42.167 sec,0
42.2 sec,0
42.233 sec,0
42.267 sec,0
42.3 sec,0
42.333 sec,0
42.367 sec,0
42.4 sec,0
42.433 sec,0
42.467 sec,0
42.5 sec,0
42.533 sec,0
42.567 sec,0
42.6 sec,0
42.633 sec,0
42.667 sec,0
42.7 sec,0
42.733 sec,0
42.767 sec,0
42.8 sec,0
42.833 sec,0
42.867 sec,0
42.9 sec,0
42.933 sec,0
42.967 sec,0
43 sec,0
43.033 sec,0
43.067 sec,0
43.1 sec,0
43.133 sec,0
43.167 sec,0
43.2 sec,0
43.233 sec,0
43.267 sec,0
43.3 sec,0
43.333 sec,0
43.367 sec,0
43.4 sec,0
43.433 sec,0
43.467 sec,0
43.5 sec,0
43.533 sec,0
43.567 sec,0
43.6 sec,0
43.633 sec,0
43.667 sec,0
43.7 sec,0
43.733 sec,0
43.767 sec,0
43.8 sec,0
43.833 sec,0
43.867 sec,0
43.9 sec,0
43.933 sec,0
43.967 sec,0
44 sec,0
44.033 sec,0
44.067 sec,0
44.1 sec,0
44.133 sec,0
44.167 sec,0
44.2 sec,0
44.233 sec,0
44.267 sec,0
44.3 sec,0
44.333 sec,0
44.367 sec,0
44.4 sec,0
44.433 sec,0
44.467 sec,0
44.5 sec,0
44.533 sec,0
44.567 sec,0
44.6 sec,0
44.633 sec,0
44.667 sec,0
44.7 sec,0
44.733 sec,0
44.767 sec,0
44.8 sec,0
44.833 sec,0
44.867 sec,0
44.9 sec,0
44.933 sec,0
44.967 sec,0
45 sec,0
45.033 sec,0
45.067 sec,0
45.1 sec,0
45.133 sec,0
45.167 sec,0
45.2 sec,0
45.233 sec,0
45.267 sec,0
45.3 sec,0
45.333 sec,0
45.367 sec,0
45.4 sec,0
45.433 sec,0
45.467 sec,0
45.5 sec,0
45.533 sec,0
45.567 sec,0
45.6 sec,0
45.633 sec,0
45.667 sec,0
45.7 sec,0
45.733 sec,0
45.767 sec,0
45.8 sec,0
45.833 sec,0
45.867 sec,0
45.9 sec,0
45.933 sec,0
45.967 sec,0
46 sec,0
46.033 sec,0
46.067 sec,0
46.1 sec,0
46.133 sec,0
46.167 sec,0
46.2 sec,0
46.233 sec,0
46.267 sec,0
46.3 sec,0
46.333 sec,0
46.367 sec,0
46.4 sec,0
46.433 sec,0
46.467 sec,0
46.5 sec,0
46.533 sec,0
46.567 sec,0
46.6 sec,0
46.633 sec,0
46.667 sec,0
46.7 sec,0
46.733 sec,0
46.767 sec,0
46.8 sec,0
46.833 sec,0
46.867 sec,0
46.9 sec,0
46.933 sec,0
46.967 sec,0
47 sec,0
47.033 sec,0
47.067 sec,0
47.1 sec,0
47.133 sec,0
47.167 sec,0
47.2 sec,0
47.233 sec,0
47.267 sec,0
47.3 sec,0
47.333 sec,0
47.367 sec,0
47.4 sec,0
47.433 sec,0
47.467 sec,0
47.5 sec,0
47.533 sec,0
47.567 sec,0
47.6 sec,0
47.633 sec,0
47.667 sec,0
47.7 sec,0
47.733 sec,0
47.767 sec,0
47.8 sec,0
47.833 sec,0
47.867 sec,0
47.9 sec,0
47.933 sec,0
47.967 sec,0
48 sec,0
48.033 sec,0
48.067 sec,0
48.1 sec,0
48.133 sec,0
48.167 sec,0
48.2 sec,0
48.233 sec,0
48.267 sec,0
48.3 sec,0
48.333 sec,0
48.367 sec,0
48.4 sec,0
48.433 sec,0
48.467 sec,0
48.5 sec,0
48.533 sec,0
48.567 sec,0
48.6 sec,0
48.633 sec,0
48.667 sec,0
48.7 sec,0
48.733 sec,0
48.767 sec,0
48.8 sec,0
48.833 sec,0
48.867 sec,0
48.9 sec,0
48.933 sec,0
48.967 sec,0
49 sec,0
49.033 sec,0
49.067 sec,0
49.1 sec,0
49.133 sec,0
49.167 sec,0
49.2 sec,0
49.233 sec,0
49.267 sec,0
49.3 sec,0
49.333 sec,0
49.367 sec,0
49.4 sec,0
49.433 sec,0
49.467 sec,0
49.5 sec,0
49.533 sec,0
49.567 sec,0
49.6 sec,0
49.633 sec,0
49.667 sec,0
49.7 sec,0
49.733 sec,0
49.767 sec,0
49.8 sec,0
49.833 sec,0
49.867 sec,0
49.9 sec,0
49.933 sec,0
49.967 sec,0
50 sec,0
50.033 sec,0
50.067 sec,0
50.1 sec,0
50.133 sec,0
50.167 sec,0
50.2 sec,0
50.233 sec,0
50.267 sec,0
50.3 sec,0
50.333 sec,0
50.367 sec,1
50.4 sec,1
50.433 sec,0
50.467 sec,0
50.5 sec,0
50.533 sec,0
50.567 sec,0
50.6 sec,0
50.633 sec,0
50.667 sec,0
50.7 sec,0
50.733 sec,0
50.767 sec,0
50.8 sec,1
50.833 sec,1
50.867 sec,0
50.9 sec,0
50.933 sec,0
50.967 sec,0
51 sec,0
51.033 sec,0
51.067 sec,0
51.1 sec,0
51.133 sec,0
51.167 sec,0
51.2 sec,0
51.233 sec,0
51.267 sec,0
51.3 sec,0
51.333 sec,0
51.367 sec,0
51.4 sec,0
51.433 sec,0
51.467 sec,0
51.5 sec,0
51.533 sec,0
