Time,useless,still,wave,nearDrops,smallDrops,drops,foam
1.118 sec,0,0,0,0,0,0,0
1.126 sec,0,0,0,0,0,0,0
1.134 sec,0,0,0,0,0,0,0
1.143 sec,0,0,0,0,0,0,0
1.151 sec,0,0,0,0,0,0,0
1.159 sec,0,0,0,0,0,0,0
1.168 sec,0,0,0,0,0,0,0
1.176 sec,0,0,0,0,0,0,0
1.185 sec,0,0,0,0,0,0,0
1.193 sec,0,0,0,0,0,0,0
1.201 sec,0,0,0,0,0,0,0
1.21 sec,0,0,0,0,0,0,0
1.218 sec,0,0,0,1,0,0,0
1.226 sec,0,0,0,1,0,0,0
1.235 sec,0,0,0,1,0,0,0
1.243 sec,0,0,0,0,0,0,0
1.251 sec,0,0,0,0,0,0,0
1.26 sec,0,0,0,0,0,0,0
1.268 sec,0,0,0,0,0,0,0
1.276 sec,0,0,0,0,0,0,0
1.285 sec,0,0,0,0,0,0,0
1.293 sec,0,0,0,0,0,0,0
1.301 sec,0,0,0,0,0,0,0
1.31 sec,0,0,0,0,0,0,0
1.318 sec,0,0,0,0,0,0,0
1.326 sec,0,0,0,0,0,0,0
1.335 sec,0,0,0,0,0,0,0
1.343 sec,0,0,0,0,0,0,0
1.351 sec,0,0,0,0,0,0,0
1.36 sec,0,0,0,0,0,0,0
1.368 sec,0,0,0,0,0,0,0
1.376 sec,0,0,0,0,0,0,0
1.385 sec,0,0,0,0,0,0,0
1.393 sec,0,0,0,0,0,0,0
1.401 sec,0,0,0,0,0,0,0
1.41 sec,0,0,0,0,0,0,0
1.418 sec,0,0,0,0,0,0,0
1.426 sec,0,0,0,0,0,0,0
1.435 sec,0,0,0,0,0,0,0
1.443 sec,0,0,0,0,0,0,0
1.451 sec,0,0,0,0,0,0,0
1.46 sec,0,0,0,0,0,0,0
1.468 sec,0,0,0,0,0,0,0
1.476 sec,0,0,0,0,0,0,0
1.485 sec,0,0,0,0,0,0,0
1.493 sec,0,0,0,0,0,0,0
1.502 sec,0,0,0,0,0,0,0
1.51 sec,0,0,0,0,0,0,0
1.518 sec,0,0,0,0,0,0,0
1.527 sec,0,0,0,0,0,0,0
1.535 sec,0,0,0,0,0,0,0
1.543 sec,0,0,0,0,0,0,0
1.552 sec,0,0,0,0,0,0,0
1.56 sec,0,0,0,0,0,0,0
1.568 sec,0,0,0,0,0,0,0
1.577 sec,0,0,0,0,0,0,0
1.585 sec,0,0,0,0,0,0,0
1.593 sec,0,0,0,0,0,0,0
1.602 sec,0,0,0,0,0,0,0
1.61 sec,0,0,0,0,0,0,0
1.618 sec,0,0,0,0,0,0,0
1.627 sec,0,0,0,0,0,0,0
1.635 sec,0,0,0,0,0,0,0
1.643 sec,0,0,0,0,0,0,0
1.652 sec,0,0,0,0,0,0,0
1.66 sec,0,0,0,0,0,0,0
1.668 sec,0,0,0,0,0,0,0
1.677 sec,0,0,0,0,0,0,0
1.685 sec,0,0,0,0,0,0,0
1.693 sec,0,0,0,0,0,0,0
1.702 sec,0,0,0,0,0,0,0
1.71 sec,0,0,0,0,0,0,0
1.718 sec,0,0,0,0,0,0,0
1.727 sec,0,0,0,0,0,0,0
1.735 sec,0,0,0,0,0,0,0
1.743 sec,0,0,0,0,0,0,0
1.752 sec,0,0,0,0,0,0,0
1.76 sec,0,0,0,0,0,0,0
1.768 sec,0,0,0,0,0,0,0
1.777 sec,0,0,0,1,0,0,0
1.785 sec,0,0,0,0,0,0,0
1.793 sec,0,0,0,0,0,0,0
1.802 sec,0,0,0,0,0,0,0
1.81 sec,0,0,0,0,0,0,0
1.818 sec,0,0,0,0,0,0,0
1.827 sec,0,0,0,0,0,0,0
1.835 sec,0,0,0,0,0,0,0
1.844 sec,0,0,0,0,0,0,0
1.852 sec,0,0,0,0,0,0,0
1.86 sec,0,0,0,0,0,0,0
1.869 sec,0,0,0,0,0,0,0
1.877 sec,0,0,0,0,0,0,0
1.885 sec,0,0,0,0,0,0,0
1.894 sec,0,0,0,0,0,0,0
1.902 sec,0,0,0,0,0,0,0
1.91 sec,0,0,0,0,0,0,0
1.919 sec,0,0,0,0,0,0,0
1.927 sec,0,0,0,0,0,0,0
1.935 sec,0,0,0,0,0,0,0
1.944 sec,0,0,0,0,0,0,0
1.952 sec,0,0,0,0,0,0,0
1.96 sec,0,0,0,0,0,0,0
1.969 sec,0,0,0,0,0,0,0
1.977 sec,0,0,0,0,0,0,0
1.985 sec,0,0,0,0,0,0,0
1.994 sec,0,0,0,0,0,0,0
2.002 sec,0,0,0,0,0,0,0
2.01 sec,0,0,0,0,0,0,0
2.019 sec,0,0,0,0,0,0,0
2.027 sec,0,0,0,0,0,0,0
2.035 sec,0,0,0,0,0,0,0
2.044 sec,0,0,0,0,0,0,0
2.052 sec,0,0,0,0,0,0,0
2.06 sec,0,0,0,0,0,0,0
2.069 sec,0,0,0,0,0,0,0
2.077 sec,0,0,0,0,0,0,0
2.085 sec,0,0,0,0,0,0,0
2.094 sec,0,0,0,0,0,0,0
2.102 sec,0,0,0,0,0,0,0
2.11 sec,0,0,0,0,0,0,0
2.119 sec,0,0,0,0,0,0,0
2.127 sec,0,0,0,0,0,0,0
2.135 sec,0,0,0,0,0,0,0
2.144 sec,0,0,0,0,0,0,0
2.152 sec,0,0,0,0,0,0,0
2.16 sec,0,0,0,0,0,0,0
2.169 sec,0,0,0,0,0,0,0
2.177 sec,0,0,0,0,0,0,0
2.186 sec,0,0,0,0,0,0,0
2.194 sec,0,0,0,0,0,0,0
2.202 sec,0,0,0,0,0,0,0
2.211 sec,0,0,0,0,0,0,0
2.219 sec,0,0,0,0,0,0,0
2.227 sec,0,0,0,0,0,0,0
2.236 sec,0,0,0,0,0,0,0
2.244 sec,0,0,0,0,0,0,0
2.252 sec,0,0,0,0,0,0,0
2.261 sec,0,0,0,0,0,0,0
2.269 sec,0,0,0,0,0,0,0
2.277 sec,0,0,0,0,0,0,0
2.286 sec,0,0,0,0,0,0,0
2.294 sec,0,0,0,0,0,0,0
2.302 sec,0,0,0,0,0,0,0
2.311 sec,0,0,0,0,0,0,0
2.319 sec,0,0,0,0,0,0,0
2.327 sec,0,0,0,0,0,0,0
2.336 sec,0,0,0,0,0,0,0
2.344 sec,0,0,0,0,0,0,0
2.352 sec,0,0,0,0,0,0,0
2.361 sec,0,0,0,0,0,0,0
2.369 sec,0,0,0,0,0,0,0
2.377 sec,0,0,0,0,0,0,0
2.386 sec,0,0,0,0,0,0,0
2.394 sec,0,0,0,0,0,0,0
2.402 sec,0,0,0,0,0,0,0
2.411 sec,0,0,0,0,0,0,0
2.419 sec,0,0,0,0,0,0,0
2.427 sec,0,0,0,0,0,0,0
2.436 sec,0,0,0,0,0,0,0
2.444 sec,0,0,0,0,0,0,0
2.452 sec,0,0,0,0,0,0,0
2.461 sec,0,0,0,0,0,0,0
2.469 sec,0,0,0,0,0,0,0
2.477 sec,0,0,0,0,0,0,0
2.486 sec,0,0,0,0,0,0,0
2.494 sec,0,0,0,0,0,0,0
2.503 sec,0,0,0,1,0,0,0
2.511 sec,0,0,0,1,0,0,0
2.519 sec,0,0,0,1,0,0,0
2.528 sec,0,0,0,0,0,0,0
2.536 sec,0,0,0,0,0,0,0
2.544 sec,0,0,0,0,0,0,0
2.553 sec,0,0,0,0,0,0,0
2.561 sec,0,0,0,0,0,0,0
2.569 sec,0,0,0,0,0,0,0
2.578 sec,0,0,0,0,0,0,0
2.586 sec,0,0,0,0,0,0,0
2.594 sec,0,0,0,0,0,0,0
2.603 sec,0,0,0,0,0,0,0
2.611 sec,0,0,0,0,0,0,0
2.619 sec,0,0,0,0,0,0,0
2.628 sec,0,0,0,0,0,0,0
2.636 sec,0,0,0,0,0,0,0
2.644 sec,0,0,0,0,0,0,0
2.653 sec,0,0,0,0,0,0,0
2.661 sec,0,0,0,0,0,0,0
2.669 sec,0,0,0,0,0,0,0
2.678 sec,0,0,0,0,0,0,0
2.686 sec,0,0,0,0,0,0,0
2.694 sec,0,0,0,0,0,0,0
2.703 sec,0,0,0,0,0,0,0
2.711 sec,0,0,0,0,0,0,0
2.719 sec,0,0,0,0,0,0,0
2.728 sec,0,0,0,0,0,0,0
2.736 sec,0,0,0,0,0,0,0
2.744 sec,0,0,0,0,0,0,0
2.753 sec,0,0,0,0,0,0,0
2.761 sec,0,0,0,0,0,0,0
2.769 sec,0,0,0,0,0,0,0
2.778 sec,0,0,0,0,0,0,0
2.786 sec,0,0,0,0,0,0,0
2.794 sec,0,0,0,0,0,0,0
2.803 sec,0,0,0,0,0,0,0
2.811 sec,0,0,0,0,0,0,0
2.819 sec,0,0,0,0,0,0,0
2.828 sec,0,0,0,0,0,0,0
2.836 sec,0,0,0,0,0,0,0
2.845 sec,0,0,0,0,0,0,0
2.853 sec,0,0,0,0,0,0,0
2.861 sec,0,0,0,0,0,0,0
2.87 sec,0,0,0,0,0,0,0
2.878 sec,0,0,0,0,0,0,0
2.886 sec,0,0,0,0,0,0,0
2.895 sec,0,0,0,0,0,0,0
2.903 sec,0,0,0,0,0,0,0
2.911 sec,0,0,0,0,0,0,0
2.92 sec,0,0,0,0,0,0,0
2.928 sec,0,0,0,0,0,0,0
2.936 sec,0,0,0,0,0,0,0
2.945 sec,0,0,0,0,0,0,0
2.953 sec,0,0,0,0,0,0,0
2.961 sec,0,0,0,0,0,0,0
2.97 sec,0,0,0,0,0,0,0
2.978 sec,0,0,0,0,0,0,0
2.986 sec,0,0,0,0,0,0,0
2.995 sec,0,0,0,0,0,0,0
3.003 sec,0,0,0,0,0,0,0
3.011 sec,0,0,0,0,0,0,0
3.02 sec,0,0,0,0,0,0,0
3.028 sec,0,0,0,0,0,0,0
3.036 sec,0,0,0,0,0,0,0
3.045 sec,0,0,0,0,0,0,0
3.053 sec,0,0,0,0,0,0,0
3.061 sec,0,0,0,0,0,0,0
3.07 sec,0,0,0,0,0,0,0
3.078 sec,0,0,0,0,0,0,0
3.086 sec,0,0,0,0,0,0,0
3.095 sec,0,0,0,0,0,0,0
3.103 sec,0,0,0,0,0,0,0
3.111 sec,0,0,0,0,0,0,0
3.12 sec,0,0,0,0,0,0,0
3.128 sec,0,0,0,0,0,0,0
3.136 sec,0,0,0,0,0,0,0
3.145 sec,0,0,0,0,0,0,0
3.153 sec,0,0,0,0,0,0,0
3.161 sec,0,0,0,0,0,0,0
3.17 sec,0,0,0,0,0,0,0
3.178 sec,0,0,0,0,0,0,0
3.187 sec,0,0,0,0,0,0,0
3.195 sec,0,0,0,0,0,0,0
3.203 sec,0,0,0,0,0,0,0
3.212 sec,0,0,0,0,0,0,0
3.22 sec,0,0,0,0,0,0,0
3.228 sec,0,0,0,0,0,0,0
3.237 sec,0,0,0,0,0,0,0
3.245 sec,0,0,0,0,0,0,0
3.253 sec,0,0,0,0,0,0,0
3.262 sec,0,0,0,0,0,0,0
3.27 sec,0,0,0,0,0,0,0
3.278 sec,0,0,0,0,0,0,0
3.287 sec,0,0,0,0,0,0,0
3.295 sec,0,0,0,0,0,0,0
3.303 sec,0,0,0,0,0,0,0
3.312 sec,0,0,0,0,0,0,0
3.32 sec,0,0,0,0,0,0,0
3.328 sec,0,0,0,0,0,0,0
3.337 sec,0,0,0,0,0,0,0
3.345 sec,0,0,0,0,0,0,0
3.353 sec,0,0,0,0,0,0,0
3.362 sec,0,0,0,0,0,0,0
3.37 sec,0,0,0,0,0,0,0
3.378 sec,0,0,0,0,0,0,0
3.387 sec,0,0,0,0,0,0,0
3.395 sec,0,0,0,0,0,0,0
3.403 sec,0,0,0,0,0,0,0
3.412 sec,0,0,0,0,0,0,0
3.42 sec,0,0,0,0,0,0,0
3.428 sec,0,0,0,0,0,0,0
3.437 sec,0,0,0,0,0,0,0
3.445 sec,0,0,0,0,0,0,0
3.453 sec,0,0,0,0,0,0,0
3.462 sec,0,0,0,0,0,0,0
3.47 sec,0,0,0,0,0,0,0
3.478 sec,0,0,0,0,0,0,0
3.487 sec,0,0,0,0,0,0,0
3.495 sec,0,0,0,0,0,0,0
3.504 sec,0,0,0,0,0,0,0
3.512 sec,0,0,0,0,0,0,0
3.52 sec,0,0,0,0,0,0,0
3.529 sec,0,0,0,0,0,0,0
3.537 sec,0,0,0,0,0,0,0
3.545 sec,0,0,0,0,0,0,0
3.554 sec,0,0,0,0,0,0,0
3.562 sec,0,0,0,0,0,0,0
3.57 sec,0,0,0,0,0,0,0
3.579 sec,0,0,0,0,0,0,0
3.587 sec,0,0,0,1,0,0,0
3.595 sec,0,0,0,1,0,0,0
3.604 sec,0,0,0,0,0,0,0
3.612 sec,0,0,0,0,0,0,0
3.62 sec,0,0,0,0,0,0,0
3.629 sec,0,0,0,0,0,0,0
3.637 sec,0,0,0,0,0,0,0
3.645 sec,0,0,0,0,0,0,0
3.654 sec,0,0,0,0,0,0,0
3.662 sec,0,0,0,0,0,0,0
3.67 sec,0,0,0,0,0,0,0
3.679 sec,0,0,0,0,0,0,0
3.687 sec,0,0,0,0,0,0,0
3.695 sec,0,0,0,0,0,0,0
3.704 sec,0,0,0,0,0,0,0
3.712 sec,0,0,0,0,0,0,0
3.72 sec,0,0,0,0,0,0,0
3.729 sec,0,0,0,0,0,0,0
3.737 sec,0,0,0,0,0,0,0
3.745 sec,0,0,0,0,0,0,0
3.754 sec,0,0,0,0,0,0,0
3.762 sec,0,0,0,0,0,0,0
3.77 sec,0,0,0,0,0,0,0
3.779 sec,0,0,0,0,0,0,0
3.787 sec,0,0,0,0,0,0,0
3.795 sec,0,0,0,0,0,0,0
3.804 sec,0,0,0,0,0,0,0
3.812 sec,0,0,0,0,0,0,0
3.82 sec,0,0,0,0,0,0,0
3.829 sec,0,0,0,0,0,0,0
3.837 sec,0,0,0,0,0,0,0
3.846 sec,0,0,0,0,0,0,0
3.854 sec,0,0,0,0,0,0,0
3.862 sec,0,0,0,0,0,0,0
3.871 sec,0,0,0,0,0,0,0
3.879 sec,0,0,0,0,0,0,0
3.887 sec,0,0,0,0,0,0,0
3.896 sec,0,0,0,0,0,0,0
3.904 sec,0,0,0,0,0,0,0
3.912 sec,0,0,0,0,0,0,0
3.921 sec,0,0,0,0,0,0,0
3.929 sec,0,0,0,0,0,0,0
3.937 sec,0,0,0,0,0,0,0
3.946 sec,0,0,0,0,0,0,0
3.954 sec,0,0,0,0,0,0,0
3.962 sec,0,0,0,0,0,0,0
3.971 sec,0,0,0,0,0,0,0
3.979 sec,0,0,0,0,0,0,0
3.987 sec,0,0,0,0,0,0,0
3.996 sec,0,0,0,0,0,0,0
4.004 sec,0,0,0,0,0,0,0
4.012 sec,0,0,0,0,0,0,0
4.021 sec,0,0,0,0,0,0,0
4.029 sec,0,0,0,0,0,0,0
4.037 sec,0,0,0,0,0,0,0
4.046 sec,0,0,0,0,0,0,0
4.054 sec,0,0,0,0,0,0,0
4.062 sec,0,0,0,0,0,0,0
4.071 sec,0,0,0,0,0,0,0
4.079 sec,0,0,0,0,0,0,0
4.087 sec,0,0,0,0,0,0,0
4.096 sec,0,0,0,0,0,0,0
4.104 sec,0,0,0,0,0,0,0
4.112 sec,0,0,0,1,0,0,0
4.121 sec,0,0,0,1,0,0,0
4.129 sec,0,0,0,0,0,0,0
4.137 sec,0,0,0,0,0,0,0
4.146 sec,0,0,0,0,0,0,0
4.154 sec,0,0,0,0,0,0,0
4.162 sec,0,0,0,0,0,0,0
4.171 sec,0,0,0,0,0,0,0
4.179 sec,0,0,0,0,0,0,0
4.188 sec,0,0,0,0,0,0,0
4.196 sec,0,0,0,0,0,0,0
4.204 sec,0,0,0,1,0,0,0
4.213 sec,0,0,0,0,0,0,0
4.221 sec,0,0,0,0,0,0,0
4.229 sec,0,0,0,0,0,0,0
4.238 sec,0,0,0,0,0,0,0
4.246 sec,0,0,0,0,0,0,0
4.254 sec,0,0,0,0,0,0,0
4.263 sec,0,0,0,0,0,0,0
4.271 sec,0,0,0,0,0,0,0
4.279 sec,0,0,0,0,0,0,0
4.288 sec,0,0,0,0,0,0,0
4.296 sec,0,0,0,0,0,0,0
4.304 sec,0,0,0,0,0,0,0
4.313 sec,0,0,0,0,0,0,0
4.321 sec,0,0,0,0,0,0,0
4.329 sec,0,0,0,0,0,0,0
4.338 sec,0,0,0,0,0,0,0
4.346 sec,0,0,0,0,0,0,0
4.354 sec,0,0,0,0,0,0,0
4.363 sec,0,0,0,0,0,0,0
4.371 sec,0,0,0,0,0,0,0
4.379 sec,0,0,0,0,0,0,0
4.388 sec,0,0,0,1,0,0,0
4.396 sec,0,0,0,0,0,0,0
4.404 sec,0,0,0,0,0,0,0
4.413 sec,0,0,0,0,0,0,0
4.421 sec,0,0,0,0,0,0,0
4.429 sec,0,0,0,0,0,0,0
4.438 sec,0,0,0,0,0,0,0
4.446 sec,0,0,0,0,0,0,0
4.454 sec,0,0,0,0,0,0,0
4.463 sec,0,0,0,0,0,0,0
4.471 sec,0,0,0,0,0,0,0
4.479 sec,0,0,0,0,0,0,0
4.488 sec,0,0,0,0,0,0,0
4.496 sec,0,0,0,0,0,0,0
4.505 sec,0,0,0,0,0,0,0
4.513 sec,0,0,0,0,0,0,0
4.521 sec,0,0,0,0,0,0,0
4.53 sec,0,0,0,0,0,0,0
4.538 sec,0,0,0,0,0,0,0
4.546 sec,0,0,0,0,0,0,0
4.555 sec,0,0,0,0,0,0,0
4.563 sec,0,0,0,0,0,0,0
4.571 sec,0,0,0,0,0,0,0
4.58 sec,0,0,0,0,0,0,0
4.588 sec,0,0,0,0,0,0,0
4.596 sec,0,0,0,0,0,0,0
4.605 sec,0,0,0,0,0,0,0
4.613 sec,0,0,0,0,0,0,0
4.621 sec,0,0,0,0,0,0,0
4.63 sec,0,0,0,0,0,0,0
4.638 sec,0,0,0,0,0,0,0
4.646 sec,0,0,0,0,0,0,0
4.655 sec,0,0,0,0,0,0,0
4.663 sec,0,0,0,0,0,0,0
4.671 sec,0,0,0,0,0,0,0
4.68 sec,0,0,0,0,0,0,0
4.688 sec,0,0,0,0,0,0,0
4.696 sec,0,0,0,0,0,0,0
4.705 sec,0,0,0,0,0,0,0
4.713 sec,0,0,0,0,0,0,0
4.721 sec,0,0,0,0,0,0,0
4.73 sec,0,0,0,0,0,0,0
4.738 sec,0,0,0,0,0,0,0
4.746 sec,0,0,0,0,0,0,0
4.755 sec,0,0,0,0,0,0,0
4.763 sec,0,0,0,0,0,0,0
4.771 sec,0,0,0,0,0,0,0
4.78 sec,0,0,0,0,0,0,0
4.788 sec,0,0,0,0,0,0,0
4.796 sec,0,0,0,0,0,0,0
4.805 sec,0,0,0,0,0,0,0
4.813 sec,0,0,0,0,0,0,0
4.821 sec,0,0,0,0,0,0,0
4.83 sec,0,0,0,0,0,0,0
4.838 sec,0,0,0,0,0,0,0
4.847 sec,0,0,0,0,0,0,0
4.855 sec,0,0,0,0,0,0,0
4.863 sec,0,0,0,0,0,0,0
4.872 sec,0,0,0,0,0,0,0
4.88 sec,0,0,0,0,0,0,0
4.888 sec,0,0,0,0,0,0,0
4.897 sec,0,0,0,0,0,0,0
4.905 sec,0,0,0,0,0,0,0
4.913 sec,0,0,0,0,0,0,0
4.922 sec,0,0,0,0,0,0,0
4.93 sec,0,0,0,0,0,0,0
4.938 sec,0,0,0,0,0,0,0
4.947 sec,0,0,0,0,0,0,0
4.955 sec,0,0,0,0,0,0,0
4.963 sec,0,0,0,0,0,0,0
4.972 sec,0,0,0,0,0,0,0
4.98 sec,0,0,0,0,0,0,0
4.988 sec,0,0,0,0,0,0,0
4.997 sec,0,0,0,0,0,0,0
5.005 sec,0,0,0,0,0,0,0
5.013 sec,0,0,0,1,0,0,0
5.022 sec,0,0,0,1,0,0,0
5.03 sec,0,0,0,1,0,0,0
5.038 sec,0,0,0,1,0,0,0
5.047 sec,0,0,0,1,0,0,0
5.055 sec,0,0,0,0,0,0,0
5.063 sec,0,0,0,0,0,0,0
5.072 sec,0,0,0,0,0,0,0
5.08 sec,0,0,0,0,0,0,0
5.088 sec,0,0,0,0,0,0,0
5.097 sec,0,0,0,0,0,0,0
5.105 sec,0,0,0,0,0,0,0
5.113 sec,0,0,0,0,0,0,0
5.122 sec,0,0,0,0,0,0,0
5.13 sec,0,0,0,0,0,0,0
5.138 sec,0,0,0,0,0,0,0
5.147 sec,0,0,0,0,0,0,0
5.155 sec,0,0,0,0,0,0,0
5.163 sec,0,0,0,0,0,0,0
5.172 sec,0,0,0,0,0,0,0
5.18 sec,0,0,0,0,0,0,0
5.189 sec,0,0,0,0,0,0,0
5.197 sec,0,0,0,0,0,0,0
5.205 sec,0,0,0,0,0,0,0
5.214 sec,0,0,0,0,0,0,0
5.222 sec,0,0,0,0,0,0,0
5.23 sec,0,0,0,0,0,0,0
5.239 sec,0,0,0,0,0,0,0
5.247 sec,0,0,0,0,0,0,0
5.255 sec,0,0,0,0,0,0,0
5.264 sec,0,0,0,0,0,0,0
5.272 sec,0,0,0,0,0,0,0
5.28 sec,0,0,0,0,0,0,0
5.289 sec,0,0,0,0,0,0,0
5.297 sec,0,0,0,0,0,0,0
5.305 sec,0,0,0,0,0,0,0
5.314 sec,0,0,0,0,0,0,0
5.322 sec,0,0,0,0,0,0,0
5.33 sec,0,0,0,0,0,0,0
5.339 sec,0,0,0,0,0,0,0
5.347 sec,0,0,0,0,0,0,0
5.355 sec,0,0,0,0,0,0,0
5.364 sec,0,0,0,0,0,0,0
5.372 sec,0,0,0,0,0,0,0
5.38 sec,0,0,0,0,0,0,0
5.389 sec,0,0,0,0,0,0,0
5.397 sec,0,0,0,0,0,0,0
5.405 sec,0,0,0,0,0,0,0
5.414 sec,0,0,0,0,0,0,0
5.422 sec,0,0,0,0,0,0,0
5.43 sec,0,0,0,1,0,0,0
5.439 sec,0,0,0,1,0,0,0
5.447 sec,0,0,0,1,0,0,0
5.455 sec,0,0,0,1,0,0,0
5.464 sec,0,0,0,1,0,0,0
5.472 sec,0,0,0,1,0,0,0
5.48 sec,0,0,0,1,0,0,0
5.489 sec,0,0,0,1,0,0,0
5.497 sec,0,0,0,1,0,0,0
5.506 sec,0,0,0,0,0,0,0
5.514 sec,0,0,0,0,0,0,0
5.522 sec,0,0,0,0,0,0,0
5.531 sec,0,0,0,0,0,0,0
